Categoría: Todas las categorías

Mes,Netflix: (Todo el mundo)
2004-01,2
2004-02,2
2004-03,2
2004-04,2
2004-05,2
2004-06,2
2004-07,2
2004-08,2
2004-09,2
2004-10,2
2004-11,2
2004-12,3
2005-01,4
2005-02,3
2005-03,3
2005-04,3
2005-05,3
2005-06,3
2005-07,3
2005-08,4
2005-09,3
2005-10,3
2005-11,4
2005-12,4
2006-01,5
2006-02,4
2006-03,4
2006-04,4
2006-05,3
2006-06,4
2006-07,5
2006-08,5
2006-09,4
2006-10,4
2006-11,4
2006-12,5
2007-01,6
2007-02,5
2007-03,4
2007-04,4
2007-05,4
2007-06,4
2007-07,5
2007-08,5
2007-09,5
2007-10,4
2007-11,4
2007-12,5
2008-01,6
2008-02,5
2008-03,5
2008-04,5
2008-05,5
2008-06,5
2008-07,5
2008-08,5
2008-09,5
2008-10,5
2008-11,6
2008-12,7
2009-01,8
2009-02,7
2009-03,7
2009-04,6
2009-05,7
2009-06,7
2009-07,7
2009-08,8
2009-09,7
2009-10,8
2009-11,9
2009-12,10
2010-01,11
2010-02,10
2010-03,11
2010-04,10
2010-05,11
2010-06,12
2010-07,13
2010-08,14
2010-09,15
2010-10,16
2010-11,16
2010-12,18
2011-01,20
2011-02,18
2011-03,19
2011-04,20
2011-05,19
2011-06,21
2011-07,24
2011-08,21
2011-09,21
2011-10,19
2011-11,19
2011-12,22
2012-01,24
2012-02,22
2012-03,21
2012-04,20
2012-05,20
2012-06,23
2012-07,23
2012-08,23
2012-09,22
2012-10,25
2012-11,24
2012-12,28
2013-01,29
2013-02,26
2013-03,26
2013-04,24
2013-05,24
2013-06,26
2013-07,27
2013-08,26
2013-09,27
2013-10,27
2013-11,30
2013-12,34
2014-01,34
2014-02,29
2014-03,29
2014-04,26
2014-05,24
2014-06,26
2014-07,29
2014-08,29
2014-09,29
2014-10,28
2014-11,28
2014-12,33
2015-01,34
2015-02,33
2015-03,30
2015-04,32
2015-05,31
2015-06,35
2015-07,35
2015-08,37
2015-09,37
2015-10,36
2015-11,36
2015-12,39
2016-01,41
2016-02,34
2016-03,33
2016-04,30
2016-05,30
2016-06,32
2016-07,36
2016-08,31
2016-09,33
2016-10,37
2016-11,36
2016-12,41
2017-01,41
2017-02,36
2017-03,38
2017-04,41
2017-05,38
2017-06,39
2017-07,44
2017-08,43
2017-09,44
2017-10,45
2017-11,36
2017-12,49
2018-01,52
2018-02,48
2018-03,47
2018-04,49
2018-05,48
2018-06,45
2018-07,49
2018-08,49
2018-09,47
2018-10,47
2018-11,46
2018-12,59
2019-01,64
2019-02,52
2019-03,49
2019-04,46
2019-05,49
2019-06,50
2019-07,55
2019-08,53
2019-09,49
2019-10,50
2019-11,50
2019-12,59
2020-01,63
2020-02,55
2020-03,84
2020-04,100
2020-05,80
2020-06,69
2020-07,70
2020-08,66
2020-09,67
2020-10,62
2020-11,62
2020-12,69
2021-01,74
2021-02,66
2021-03,58
2021-04,62
2021-05,61
2021-06,57
2021-07,58
2021-08,57
2021-09,57
2021-10,64
2021-11,58
2021-12,63
2022-01,73
2022-02,63
2022-03,56
2022-04,58
2022-05,53
2022-06,58
2022-07,61
2022-08,59
2022-09,56
2022-10,59
2022-11,55
2022-12,65
2023-01,63
2023-02,57
2023-03,50
2023-04,54
2023-05,51
2023-06,54
2023-07,55
2023-08,52
2023-09,56
2023-10,53
2023-11,51
2023-12,59
2024-01,59
2024-02,57
2024-03,56
2024-04,50
2024-05,52
2024-06,51
2024-07,49
2024-08,48
2024-09,50
2024-10,51
2024-11,56
2024-12,59
2025-01,64
